QueryText,KccAns
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-1 5 TO 30 MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING THE VARIETIES OF PADDY?,"Sutable Variety of Paddy-121, on -122, on -18, on -18, on -111, -111, -116, on -16, on -115, on -111 and Basmati are Pusa Are Pusa Punjab Basmati-1509, Punjab Basmati-3."
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS CLEAR AND NO CHANCE OF RAIN FOR FEW DAYS.
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND SOME CHANCES OF RAINFALL TODAY .
information regarding for the kvk contect no of bathinda?,the contect no is 0164-2215619.
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 20GM  BAVISTIN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10  HOURS BEFORE SOWING.
INFORMATION REGARDING WEATHER.,cloudy weather some chances of rain next 2 days
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-1 TO 25MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
information regarding the variety of summer squash ?,the variety of summer squash is punjab chappan kaddu 1 .
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SAME CHANCES OF RAINFALL IN NEXT 2 DAYS
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND  NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING  WEATHER ?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING  WEATHER ?,WEATHER REMAINS CLEAR TODAY.
Information regarding weather condition ?,Partly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND no CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP?,"FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP,PLS SPRAY 500GM M-45 IN 150LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT/ACRE IN 200LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT /ACRE IN 200LITRE WATER. ???? @ ??? ???????? ??? ?? ??? ???? ???? ??? ????? ??????? ???? ."
INFORMATION REGARDING WEATHER ?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SAME CHANCE OF RAIN FALL IN NEXT TWO DAYS .
"information regarding fruit droping?
spray 1ml planofix  in 4.5 ltr water/plant.",information regarding fruit droping: spray 1ml planofix  in 4.5 ltr water/plant.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BRINJAL(BAINGAN)?,"THE SUITABLE VARIETIES OF BRINJAL(BAINGAN) IS -ROUND FRIUTED-PUNJAB NEELAM,MAHADEVA,OBLONG FRIUTED-BH-2,NISHA IMPROVED,LONG FRIUTED -PUNJAB SADA BAHAR,KOKILA,SMALL FRUITED-PUNJAB NAGINA."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER REMAINS  CLOUDY AND SOME CHANCE OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
INFORMATION REGARDING WEATHER?,SOME CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY   CHANCE OF LIGHT  RAIN FALL  TODAY.
INFORMATION REGARDING WEATHER ?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SAME CHANCE  OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE CONTROL OF KARNAL BUNT DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF KARNAL BUNT DISEASE IN WHEAT CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
INFORMATION REGARDING FOR THE SOWING TIME OF BRINJAL(BAINGAN)?,"FOR THE SOWING TIME OF BRINJAL(BAINGAN)-FIRST TIME -SOWN-OCTO. & TRANSPLANTED-NOV.,SECOND TIME-SOWN-NOV. & TRANSPLANTED-FEB."
INFORMATION REGARDING WEATHER FORCASTING ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
??? ?????? ????  ??? ??????? ????? ?? ???? ?? ??????? ????  ?? ??? ?? ??????  ???? ? ???? ??? ?? ??????? ?? ??"
WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING  CONTACT NO OF VETERINARY DOCTOR?,"PLEASE CONTACT ON 9988181524, DR NARINDER PAL SINGH."
INFORMATION REGARDING THE CONTROL OF FUNGUS IN WHEAT ?,SPRAY TILT @ 200ML MIX IN 200 LITERS OF WATER / ACRE .
information regarding the weather condition ?,weather is cloudy and there are some chances of rainfall TODAY .
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND  CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING SEED RATE OF PADDY/ACRE?,8 KG SEED/ACRE IS SUFFICIENT.
INFORMATION REGARDING CONTROL OF YELLOW RUST IN WHEAT  ?,SPRAY TILT @ 200 ML IN 200 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN MOONG CROP?,"FOR THE CONTROL OF TERMITE IN SUGARCANE CROP,PLS APPLY 1LITRE CHLORO.50%EC AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION."
INFORMATION REGARDING FOR THE CONTROL OF GRAM POD BORER & PINK STER BORER IN WHEAT CROP?,"FOR THE CONTROL OF GRAM POD BORER & PINK STER BORER IN WHEAT CROP,SPRAY 800 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER REMAINS  CLOUDY AND  CHANCE OF A LITTLE RAINFALL TODAY.
Information regarding how to improve growth in Capsicum?,Spray 1 kg. NPK 00:00:50 in 100 lt. of water per acre.
INFORMATION REGARDING WEATHER ?,SOME CHANCE OF RAINFALL IN NEXT TWO DAYS .
INFORMATION REGARDING WEATHER ?,RAINFALL EXPECTED IN NEXT FEW DAYS.
INFORMATION REGARDING  WEATHER ?,"WEATHER REMAINS ALMOST CLOUDY TODAY, CHANCE OF A LITTLE RAINFALL."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"""SOME CHANCE OF RAINFALL NEXT TWO DAYS.   """
Information regarding weather of Amritsar?,Mostly cloudy and chances of light rainfall.
INFORMATION REGARDING WEATHER FORCASTING,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER  TODAY ?,WEATHER REMAINS CLOUDY BUT SAME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SOWING TIME OF CAPSICUM(SHIMLA MIRCH)?,CAPSICUM(SHIMLA MIRCH) SEEDS ARE SOWN IN THE NURSERY BED IN THE END OF OCTOBER & TRANSPLANTED IN MID FEBRUARY.
INFORMATION REGARDING FOR THE CONTROL OF TINDA  FRUIT & SHOOT BORER?,"FOR THE CONTROL OF TINDA  FRUIT & SHOOT BORER,PLS SPRAY 500ML PROFENOPHOSE+100ML DDVP OR 60ML CORAGEN(CHLORANTRANILIPROLE)/ACRE."
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"SPRAY PROPICONAZOLE-25EC,TILT OR SHINE@ 200ML/200 LITER WATER PER ACRE FOR CONTROL YELLOW RUST IN WHEAT."
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE ,SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) MIXED WITH 200 LITER OF WATER / ACRE ."
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
??? ?????? ???? ? ??????? ????? ??? ???? ?? ?? ??????? ?? ??"
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL TODAY.
INFORMATION REGARDING WEATHER OF AMRITSAR?,MOSTLY CLOUDY ANG CHANCES OF LIGHT RAINFALL.
information regarding for the weather?,weather is cloudy and some chance of raonfall
INFORMATION REGARDING WEATHER?,SOME CHANCES OF RAINFALL NEXT FEW DAYS
INFORMATION REGARDING WEATHER ?,WEATHER REMAIN CLOUDY TODAY  AND CHANCE OF A LITTLE RAINFALL IN NEXT 24 HOURS/2-3 DAYS.
INFORMATION REGARDING WEATHER?,"WEATHER REMAINS ALMOST CLOUDY TODAY, CHANCE OF A LITTLE RAINFALL."
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDLY  CHANCE OF LIGHT RAIN FALL TODAY .
INFORMATION REGARDING FOR WEATHER ?,weather is cloudy and SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,"Supitable varieties of Paddy (Jhona) -PR-123 (New Variety-2014), pr -21, pr -22, pr -118, pr -114, pr -111, pr -116, pr -115, pr -13,Pusa-44, HKR-47, Pusa Punjab Basmati-1509, Pusa Punjab Basmati-1121, Punjab Basmati-3."
CONTROL OF ONION THRIPS?,SPRAY 250 ML MALATHION IN 80 LT WATER/ACRE.
INFORMATION REGARDING THE NEW VARIETY OF RICE ?,THE NEW VARIETY OF RICE IS PR 124 .
INFORMATION REGARDING WEATHER ?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SOME CHANCE  OF RAINFALL TODAY .
information regarding the control of insects in Bottle gourd ?,spray rogor @ 200ml mix in 100 liters of water /acre .
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING CONTROL OF APHIDS IN FRUITS?,INFORMATION REGARDING CONTROL OF APHIDS IN FRUITS: SPRAY ROGOR 2 ML PER LITRE WATER
INFORMATION REGARDING WEATHER?,weather is cloudy and there are some chances of rainfall TODAY .
INFORMATION REGARDING WEATHER?,"WEATHER REMAIN CLOUDY TODAY, CHANCE OF A LITTLE RAINFALL TODAY."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF ONION(PYAJ)?,"THE SUITABLE VARIETIES OF ONION(PYAJ) IS -PUSA RED,PUNJAB SELECTION,PUSA RATNA,AGRI FOUND DARK RED,ARKA NIKETAN,ARKA KALYAN & N-2-4-1,PUNJAB-48."
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,SPRAY TILT (PROPICONAZOL 25% EC) @ 200 ML IN 200 LITER OF WATER / ACRE .
CONTROL OF WEEDS IN WHEAT?,SPRAY 800GM ATRATAF IN 225 LT WATER WITH IN 2-3 DAYS.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFAL TODAY
INFORMATION REGARDING FOR WEATHER ?,"weather is cloudy and SOME CHANCES OF RAINFALL TODAY
??? ?????? ???? ??? ???? ??? ????? ?? ."
INFORMATION REGARDING WEATHER FORECAST?,WEATHER IS CLOUDY TONIGHT AND SOME CHANCES OF RAINFALL.
INFORMATION REGARDING FOR THE CONTROL OF CATERPILLAR IN TOMOTO?,USE SPRAY SUMICIDINE 100 ML IN 100 LITRES OF WATER.
INFORMATION REGARDING  WEATHER ?,WEATHER REMAINS ALMOST CLOUDY TONIGHT BUT NO CHANCES OF RAINFALL.
"INFORMATION REGARDING FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN WHEAT CROP?","FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN WHEAT CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TRIADIMEFON 25% WP(BAYLETON)-200GM OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
KVK NO .?,0183-2505672.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDLY  CHANCE OF LITTLE  RAIN FALL TODAY.
INFORMATION REGARDING WEATHER?,WEATHER REMAIN CLOUDY TODAY .
INFORMATION REGARDING WEATHER?,WEATHER REMAIN CLOUDY TONIGHT .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF ONION(PYAJ)?,THE SUITABLE VARIETIES OF ONION(PYAJ) IS -AGRI FOUND DARK RED FOR KHARIF SEASON.
CONTROL OF FRUIT DROPING ?,CONTROL OF FRUIT DROPING SPRAY 1ML PLANOFIX IN 4 LTR WATER .
"""""""INFORMATION REGARDING FOR THE CONTROL OF CATERPILLER IN BARSEEM ?
""""
""",CONTROL OF CATERPILLER IN BARSEEM SPRAY 60ML TRACER IN 100 LTR WATER
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,weather is cloudy some chances of rain .
INFORMATION REGARDING FOR WEATHER?,WEATHER IS CLEAR & NO CHANCES OF RAINFALL TODAY.
information regarding weather of amritsar?,mostly cloudy and some chances of light rainfall.
INFORMATION REGARDING USSD NUMBER,PLS DIAL *491*103# FOR USSD SERVICE.
INFORMATION REGARDING FOR THE CONTROL OF ONION THRIPS INSECT IN ONION(PYAJ) CROP?,"FOR THE CONTROL OF ONION THRIPS INSECT IN ONION(PYAJ) CROP,PLS. SPRAY 200GM ACEPHATE IN 150LITRE WATER/ACRE."
INFORMATION REGARDING FOR WEATHER?,"WEATHER REMAINS LITTLE CLOUDY  TODAY, THERE MAY BE CHANCE OF A LITTLE RAINFALL IN NEXT 24 HOURS."
INFORMATION REGARDING FOR THE CONTROL OF YELLOW VEIN MOSAIC VIRUL DISEASE IN OKRA(BHINDI) CROP?,SOLUTION -1-CONTROL WHITEFLY (THE VIRUS VECTOR) BY SPRAYING OF 250ML ACEPHATE IN 100LITRE WATER/ACRE.
INFORMATION REHARDING STEM BORER IN WHEAT,FOR THE CONTROL OF STEM BORER IN WHEAT PLS SPRAY 500 ML CHLOROPYRIPHOS AND 100 ML CYPERMETHRIN IN 150 LITRES OF WATER
INFORMATION REGARDING WEATHER?,WEATHER REMAIN PARTIALLY CLOUDY AND SUNNY TODAY.
INFORMATION REGARDING WEATHER?,WEATHER REMAIN PARTIALLY COUDY AND SUNNY TODAY.
INFORMATION REGARDING WEATHER?,SUNNY AND CLOUDY WEATHER PREVAILS TODAY.
INFORMATION REHARDING STEM BORER IN WHEAT,FOR THE CONTROL OF STEM BORER IN WHEAT PLS SPRAY EKALUX 800ML AND 200 ML CYPERMETHRIN IN 150 LITRES OF WATER
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY
CONTROL OF MANGO MALFORMATION ?,"SPRAY 1 ML PLANOFIX IN 4.5 LT WATER, ADJUST DOSE ACCORDINGLY."
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLEAR TODAY BUT SOME CHANCE OF RAINFALL ON 7APRIL .
control of caterpiller in wheat ?,control of caterpiller in wheat spray 800ml ekalux in 100 ltr water .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124,PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDLY   NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING WEATHER?,NO CHANCES OF RAINFALL TODAY
informatio regarding weather condition?,rainfall is expected on 7-8 april.
information regarding the control of caterpilar in bitter gourd ?,spray rogor or cypermethrin @ 200ml mix in 100 liters of water / acre .
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAINFALL  TODDAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLEAR AND NO CHANCES  RAINFALL .
information regarding the control of insects in wheat ?,spray noovan 20 EC @ 200ml mix in 100 liters of water / acre .
information regarding control of flower setting in mango?,spray of planofix@1 ml in 4 liter water
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND  SOME CHANCES OF RAINFALL TODAY.
weather of Amritsar ?,today some chane of rain .
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR AND GRAM CATERPILLAR IN BARSEEM CROP ?,FOR THE CONTROL OF HAIRY CATERPILLAR WHEAT CROP PLS SPRAY 50ML CHLORANTRANILIPROLE AND 200ML INDOXACARD PER ACER IN BARSEEM CROP.
"INFORMATION REGARDING WEATHER CONDITION?
.",WEATHER IS CLOUDY AND SOME CHANCE OF LIGHT RAINFALL TODAY
information regarding the control of fungus in barseem ?,spray carbendazim @ 200gm mix in 200 liters of water / acre .
CATERPILLAR IN TINDA?,CATERPILLAR IN TINDA: SPRAY CYPERMETHRIN 2 ML PER LITRE WATER
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY  AND SOME CHANCE OF LIGHT  RAINFALL .
INFORMATION REGARDING  WEATHER ?,CHANCE OF A MEDIUM RAINFALL TODAY AND NEXT DAY.
blight in gram?,blight in gram: spray indofil m-45 3 gram per litre water
INFORMATION REGARDING WEATHER?,rainfall is expected on tomorrow.
Information regarding how to control Flag Smut in wheat?,Spray 2 gm. Carbendazim 50WP in per lt. of water.
INFORMATION REGARDING WEATHER?,CHANCE OF  A LITTLE RAINFALL TODAY.
INFORMATION REGARDING  WEATHER ?,SOME CHANCE OF RAINFALL TODAY.
INFORMATION REGRDING THE CONTROL OF RED SPIDER MITE IN BHINDI ?,CONTROL OF RED SPIDER MITE IN BHINDI SPRAY 250ML METASYSTOX IN 100 LTR WATER .
INFORMATION REGARDING OF WEATHER'?,WEATHER IS CLOUDY SOME CHANCE OF RAINFALL.
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,FOR THE CONTROL OF APHIDS  SPRAY 40 ML  CONFIDOR/ACRE IN 100LITRE WATER.
Information regarding how to control Stem Rot in Barseem?,Spray 2 gm. Carbendazim 50WP in per lt. of water.
INFORMATION REGARDING WEATHER?,WEATHER IS CLEAR NO CHANCES OF RAINFALL TODAY
Information regarding how to control Tobacco Caterpillar in Moong?,Spray 200 ml. Indoxacarb 14.5 SC in 100 lt. of water per acre.
INFORMATION REGARDING CONTROL SUNDI IN BARSEEM ?,"SPRAY 200ML, AWANT OR 50ML CORAGAN IN 150 LTR OF WATER PER ACRE ."
Information regarding how to control Karnal Bunt in Wheat?,Spray 200 ml. Tilt 25EC in 200 lt. of water per acre.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLEAR some CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE WEATHER FORCASTING ?,WEATHER IS CLOUDY  9mm CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE WEATHER FORCASTING ?,WEATHER IS CLOUDY  11mm CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING WEATHER ?,CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAINFALL  TODAY.
INFORMATION REGARDING WHEATHER ?,SOME CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER?,rainfall is expected on today.
INFORMATION REGARDING WEATHER,CHANCE OF RAINFALL AND WEATHER IS CLOUDY TO DAY.
INFORMATION REGARDING WEATHER ?,some clouds and some chances of rainfall .
INFORMATION REDARDING WHEATHER?,WHEATHER IS CLOUDY AND CHANCE OF RAINFALL.
INFORMATION REGARDING WEATHER ?,CHANCE OF RAINFALL AND WEATHER IS CLOUDY TO DAY.
information regarding weather of amritsar?,some clouds and chances of light rainfall.
INFORMATION REGARDING WEATHER?,WEATHER REMAIN CLOUDY TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND CHANCES OF LIGHT RAINFALL.
INFORMATION REGARDING FOR WEATHER ?,WEATHER IS CLOUDY TODAY BUT SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER CONDITION?,RAINFALL IS EXPECTED ON TODAY THEREAFTER WEATHER REMAIN CLOUDY FOR 2-3 DAYS.
CONTROL OF YELLOW RUST IN WHEAT?,SPRAY 200ML TILT OR FOLICUR  IN 200LT WATER/ACRE.
INFORMATION REGARDING WEATHER ?,"""WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
"""
INFORMATION REGARDING VARIETIES OF OKRA?,"PUNJAB-8, PUNJAB-7 AND PUNJAB PADMINI."
INFORMATION REGARDING WEATHER?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
Information regarding wheather?,WEATHER IS CLOUDY & NO CHANCES OF RAINFALL TODAY
Information regarding varieties of Turmeric?,"Varieties of Turmeric:- Punjab Haldi-1, Punajb Haldi-2."
Information regarding last irrigation in Wheat?,120 Days after sowing last irrigation apply in wheat.
INFORMATION REGARDING WEATHER CONDITION?,SOME CLOUDS AND NO CHANCES OF RAINFALL .
INFORMATION REGARDING WEATHER ?,weather is clear and no chances of rainfall today
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124 PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information ragarding weather of amritsar?,weather is clear today
INFORMATION REGARDING WEATHER  TODAY ?,WEATHER CLOUDY AND NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE FRUIT DROPPING IN CITRUS CROP ?,FOR THE FRUIT DROPPING IN CITRUS CROP PLS SPARY 1GM CARBENDAZIM(BAVISTIN) PER LITER WHATER.
Information regarding wheather?,WEATHER REMAIN CLEAR TODAY.
INFORMATION REGARDING WEATHER  TODAY ?,WEATHER REMAINS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING ABOUT WEATHER FORCASTING ?,WEATHER IS CLEAR NO CHANCE OF RAIN.
INFORMATION REGARDING WEATHER ?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDLY  AND NO CHANCES OF RAIN FALL TODAY .
information regarding waether of amritsar?,weather is clear today
INFORMATION REGARDING FOR THE CONTROL OF FRUIT SPLINTING ?,APPLY BOREX POWDER @ 2 GM PER LITER WATER.
STEM BORER IN BARSEEM?,STEM BORER IN BARSEEM: SPRAY 50 ML CORAGEN OR 40 ML FAME IN 100 LITRES OF WATER PER ACRE
INFORMATION REGARDING FOR USSD CODE ?,USSD CODE *491*103#.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN BOTTELGOURD?,"FOR THE CONTROL OF TERMITE ,BRAODCAST 1 LITRE CHLORO AFTER MIXING IN 15 KG SAND BEFORE IRRIGATION."
INFORMATION REGARDING FOR THE  WEATHER   ?,WEATHER IS CLEAR AND NO CHANCES OF RAIN .
INFORMATION REGARDING ANIMAL HUSBANDRY ?,CONTACT ON 0161 2414042 .
INFORMATION REGARDING THE CONTROL OF CATERPILAR IN PEA ?,SPRAY CYPERMETHRIN @ 200ML MIX IN 100 LITERS OF WATER / ACRE .
INFORMATION REGARDING NUMBER OF USSD ?,NUMBER OF USSD IS *491*103#
weather of Amritsar ?,today no chance of rain .
INFORMATION REGARDING FOR THE CONTROL OF GREEN KATER PILAR?,SPRE 800 ML EKALAX IN 100 LITER WATER / ACRE
INFORMATION REGARDING THE SERVICE OF USSD ?,FOR USSD DIAL *491*103#.
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF DIAMOND BACK MOTH IN CAULIFLOWER CROP?,"FOR THE CONTROL OF DIAMOND BACK MOTH IN CAULIFLOWER CROP,SPRAY -250GM CARTAP HYDROCHLORIDE 50% SP OR 100ML INDOXCARB IN 100LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLEAR NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124,PR-123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
WEATHER INFORMATION,WEATHER IS DRY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE  WEATHER   ?,"WEATHER IS CLEAR AND NO CHANCES OF RAIN .
?? ?? ???? ??? ???? ?? ?? ??? ??? ??  ??????? ??? ???? ?? ."
Information regarding how to control Aphids in Bhindi?,Spray 300 ml. Rogor 30EC in 100 lt. of water per acre.
INFORMATION REGARDING WEATHER FORECAST?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
information regarding weather of Amritsar?,weather is clear today.
"Information regarding contact no. of PAU, Ludhiana?","Contact no. of PAU, Ludhiana:- 0161-2401960."
INFORMATION REGARDING WEATHER?,"WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
???? ???????? ???  ????? ???  ???  ?? ???? ??? ??"
information regarding weather of Amritsar?,weather is clear today
information regarding the planting time of guava ?,the planting time of guava is feb.-march and agst - sept .
INFORMATION REGARDING WEATHER?,TODAY THERE ARE NO CHANCES OF RAINFALL
INFORMATION REGARDING FOR THE WEATHER ?,No chance of rainfall is expected in next two days.
INFORMATION REGARDING WEATHER?,WEATHER IS CLEAR AND NO CHANCE OF RAINFALL IN NEXT WEEK.
information regarding rotting of barries in grape?,spray of 3 g ziram in 1 liter of water
INFORMATION REGARDING WEATHER ?,"""WEATHER IS CLOUDY BUT  NO CHANCES OF RAINFALL.
"""
INFORMATION REGARDING WEATHER?,WEATHER REMAINS ALMOST CLOUDY TODAY.
control of lady bud beetle?,syper mathalin 60ml@100l of water
